Title,Price,Links,Product_Img,Product_Description
Sony PS5 Digital Standalone,"44,990.00",https://amazon.in/Sony-PS5-Digital-Standalone/dp/B0BSNHFVL4,https://m.media-amazon.com/images/I/41d7O1S1H6L._SX300_SY300_QL70_ML2_.jpg,"Maximize your play sessions with near instant load times for installed PS5 games.    The custom integration of the PS5 console's systems lets creators pull data from the SSD so quickly that they can design games in ways never before possible.    Immerse yourself in worlds with a new level of realism as rays of light are individually simulated, creating true-to-life shadows and reflections in supported PS5 games.    Play your favorite PS5 games on your stunning 4K TV.    Enjoy smooth and fluid high frame rate gameplay at up to 120fps for compatible games, with support for 120Hz output on 4K displays.    With an HDR TV, supported PS5 games display an unbelievably vibrant and lifelike range of colors.    PS5 consoles support 8K Output, so you can play games on your 4320p resolution display."
PS5® Console – EA SPORTS FC™ 24 Bundle,"48,189.00",https://amazon.in/PS5%C2%AE-Console-SPORTS-FCTM-Bundle/dp/B0CJJWJD8N,https://m.media-amazon.com/images/I/4116Knbuf5L._SX300_SY300_QL70_ML2_.jpg,"Maximize your play sessions with near instant load times for installed PS5 games.    The custom integration of the PS5 console's systems lets creators pull data from the SSD so quickly that they can design games in ways never before possible.    Immerse yourself in worlds with a new level of realism as rays of light are individually simulated, creating true-to-life shadows and reflections in supported PS5 games.    Play your favorite PS5 games on your stunning 4K TV.    Enjoy smooth and fluid high frame rate gameplay at up to 120fps for compatible games, with support for 120Hz output on 4K displays.    With an HDR TV, supported PS5 games display an unbelievably vibrant and lifelike range of colors.    PS5 consoles support 8K Output, so you can play games on your 4320p resolution display."
"Big Ant Studios Cricket 24, Standard Edition, Playstation 5","4,294.00",https://amazon.in/Big-Ant-Studios-Standard-Playstation/dp/B0C1N2YPX6,https://m.media-amazon.com/images/I/51BhYKStT8L._SX300_SY300_QL70_ML2_.jpg,"Cricket 24: Building the most realistic cricket video game ever!    The Ashes; Cricket 24 will feature the biggest rivalry in cricket, The Ashes. Detailed cutscenes immerse the player in the moment as the Ashes tour progresses. Feel a part of the team with press conferences and team training sessions. Unique commentary allows for complete Ashes immersion. Experience The Ashes playing as a single player, or as Australia or England.    Official Licenses; Over 300 players with full photogrammetry. Major Cricket Nations including Australia, England, West Indies, New Zealand and Ireland plus more. The biggest tournaments including The Ashes, the KFC BBL and Weber WBBL, The Hundred, the Caribbean Premier League plus a number of professional Indian T20 teams, along with more than 50 highly detailed official stadiums.    All new fielding; A complete overhaul of the fielding systems to provide the most realistic and responsive fielding controls ever seen in a cricket video game.    Cross Platform; Fully cross platform, play online against your friends and the world’s best players regardless of platform. Create and share custom content across different platforms including stadiums, players, teams and more with the academy."
Moto GP 23 | Standard Edition | PlayStation 5,"2,999.00",https://amazon.in/Moto-GP-23-Standard-PlayStation/dp/B0C4TGYJC2,https://m.media-amazon.com/images/I/519rTccnZYL._SX300_SY300_QL70_ML2_.jpg,"A NEW CAREER TO DISCOVER Your ultimate goal might still be the same: climbing the rankings from Moto3 to Moto2 to the Olympus of the MotoGP, but the way you can choose the path of your Career has been completely redesigned to give you the most realistic and personal experience ever. The relationship with the other riders will play a major role: Rivalries can really influence the race and ultimately your career, so pay attention to the new in-game virtual Social Media platform… and watch your back! And just like real life, crucial moments can suddenly boost your career: these are the new Turning Points, shortcuts to move faster through the different classes with dedicated challenges.    THRILLS FOR EVERYONE Whether you are a skilled, seasoned rider or it’s your very first time on the 2 wheels, MotoGP23 knows how to make your experience always enjoyable and motivating. The new Neural Aid System is designed to analyze your performance and give you real time support with handling, brakes and acceleration. Dedicated Tutorials will let you explore in depth specific aspects of the game. And then, keep building your confidence or perfect your style in the prestigious MotoGP Academy, to learn all the tricks to be a champion.    EVERYTHING CAN CHANGE Easy never made great victories. So if you’re up for a challenge, you’ll love the new Dynamic Weather feature! It will bring the highest level of unpredictability in the game, with a dry race that can quickly turn into a wet mayhem. Make the most of the new Flag-to-Flag rule to swap your bikes and get a strategic advantage on your rivals! When everything can change, timing is everything!    MAKE IT YOUR OWN Your personal style doesn’t only show in the way you ride, it also shines through the look you choose! So, unleash your creativity and show off your style with the endless possibilities offered by our powerful graphic editors! You can now share your creations from D1 thanks to the cross-play feature.    RACE WITHOUT LIMITS To prove you are the best, you need to challenge everyone. Well, now you can. MotoGP23 features full cross-play* to compete with other players regardless of their platform and console generation. And when the competition is in the same room with you, the Split-Screen mode will help you find out who the real king of the couch is. Finally, the new Ranked Races will let you take on other players with your same skill level to enjoy the most intense and challenging duels!"
F1 23 | Standard Edition | PlayStation 5,"3,699.00",https://amazon.in/F1-23-Standard-PlayStation-5/dp/B0C4TJCYW7,https://m.media-amazon.com/images/I/51KsBHKywDL._SX300_SY300_QL70_ML2_.jpg,"Be the last to brake in EA SPORTS F1 23, the official videogame of the 2023 FIA Formula One World Championship    A new chapter unfolds in F1 23    The new Las Vegas and Qatar circuits, Red Flags, 35% Race Distance and more    Complete challenges, compete for rewards, and get upgrades as you journey through F1 with a new progression system"
Assassin's Creed Mirage | Deluxe Edition | PlayStation 5,"4,990.00",https://amazon.in/Assassins-Creed-Mirage-Deluxe-PlayStation/dp/B0CB8NKPNC,,"*Discover a tightly crafted, narrative-driven action-adventure experience that follows the transformation of a defiant young man into a refined Master Assassin.    *Journey to Alamut, the legendary home of the Assassins who laid the foundations of the Creed in this heartfelt homage to the game that started it all.    *Experience a modern take on the iconic features and gameplay that have defined a franchise for 15 years as you parkour seamlessly through the city and stealthily take down targets with more visceral assassinations than ever before.    *Explore an incredibly dense and vibrant city whose inhabitants react to your every move, and uncover the secrets of four unique districts as you venture through the Golden Age of Baghdad."
Assassin's Creed Mirage | Standard Edition | PlayStation 5,"3,499.00",https://amazon.in/Assassins-Creed-Mirage-Standard-PlayStation/dp/B0CB8NZK71,"https://images-eu.ssl-images-amazon.com/images/I/81UyWpCOPNL._AC_UL116_SR116,116_.jpg","*Discover a tightly crafted, narrative-driven action-adventure experience that follows the transformation of a defiant young man into a refined Master Assassin.    *Journey to Alamut, the legendary home of the Assassins who laid the foundations of the Creed in this heartfelt homage to the game that started it all.    *Experience a modern take on the iconic features and gameplay that have defined a franchise for 15 years as you parkour seamlessly through the city and stealthily take down targets with more visceral assassinations than ever before.    *Explore an incredibly dense and vibrant city whose inhabitants react to your every move, and uncover the secrets of four unique districts as you venture through the Golden Age of Baghdad."
PS5 Spiderman 2 Standard Edn.,"4,999.00",https://amazon.in/PS5-Spiderman-2-Standard-Edn/dp/B0C7VLXMT4,https://m.media-amazon.com/images/I/51VG4qrXSRL._SX300_SY300_QL70_ML2_.jpg,"An evolution of the Spider-Man story : The incredible power of the symbiote forces Peter and Miles to face the ultimate test of strength, both inside and outside the mask, as they balance their lives, friendships and their duty to protect those in need.    Experience two playable Spider-Men : Quickly swap between both Spider-Men as you explore an expanded Marvel’s New York. Experience Peter’s new symbiote abilities and Miles’ explosive bio-electric venom powers, and discover upgradeable, high-tech equipment that enhances the combat experience for extensive gameplay depth and variety.    Battle iconic Marvel Super Villains : Fight against a variety of new and iconic villains, including an original take on the monstrous Venom, the ruthless Kraven the Hunter, the volatile Lizard and many more!    Visit an expanded Marvel’s New York : Explore a larger Marvel’s New York than ever before, featuring two new boroughs – Brooklyn and Queens – as well as locations like Coney Island."
Sony Ghostwire Tokyo | PS5 Game (PlayStation 5),"1,499.00",https://amazon.in/Ghostwire-Tokyo-PS5-Game-PlayStation/dp/B09VL84R5B,https://m.media-amazon.com/images/I/51cyRyLBcnL._SX300_SY300_QL70_ML2_.jpg,"Ally with a powerful spectral entity on their quest for vengeance and master a powerful arsenal of abilities to unravel the dark truth behind the disappearance.    A beautifully haunted Tokyo:-Discover iconic landmarks like Shibuya Crossing and Tokyo Tower, frozen in time when the city’s population disappeared.    Next-gen immersion:-Experience a stunningly rendered, rain-soaked Tokyo with PlayStation 5's next-gen ray tracing technology and 3D AudioTech"
Call of Duty: Vanguard (PS5) - PlayStation 5,"3,066.00",https://amazon.in/Call-Duty-Vanguard-PS5-PlayStation/dp/B09DBG74D8,https://m.media-amazon.com/images/I/41ReOQ4wAyL._SX300_SY300_QL70_ML2_.jpg,"Call of Duty Vanguard will also usher in a new and unparalleled Call of Duty: Warzone integration post launch, and feature cross-progression and cross-generation play, in addition to a massive calendar of free post-launch content that adds in new Multiplayer maps, modes, seasonal events, community celebrations and more.    Rise on every front Dogfight over the Pacific, airdrop over France, defend Stalingrad with a sniper's precision and blast through advancing forces in North Africa    Through a deeply engaging single player Campaign a select group of soldiers from different countries rise to meet the world's gravest threat"
